Date,Open,High,Low,Close,Adj Close,Volume
2017-03-15,3.64,3.68,3.61,3.65,3.65,6919200
2017-03-16,3.69,3.74,3.68,3.73,3.73,16063716
2017-03-17,3.74,3.75,3.71,3.72,3.72,15424800
2017-03-20,3.73,3.75,3.7,3.72,3.72,6612500
2017-03-21,3.73,3.75,3.72,3.73,3.73,8027100
2017-03-22,3.7,3.7,3.63,3.66,3.66,11506300
2017-03-23,3.67,3.69,3.62,3.65,3.65,7547200
2017-03-24,3.66,3.7,3.64,3.69,3.69,9418800
2017-03-27,3.66,3.67,3.62,3.64,3.64,8368200
2017-03-28,3.67,3.69,3.65,3.66,3.66,6748300
2017-03-29,3.67,3.7,3.66,3.68,3.68,11420000
2017-03-30,3.67,3.68,3.62,3.63,3.63,12952200
2017-03-31,3.64,3.68,3.62,3.63,3.63,18721800
